1 ngulangurlunyalu yaliji
1 ngulalku yanu
2 manu marna
1 malikiyijala manjakurralkurlipa
1 kala marnakurrawarnurlanyalu
1 kalajana manu
1 kulkurrujarra yali
2 pajurnu yalyulku
1 kalalupalangu marda
1 purlkanyayirni tirnapardunyayirni
1 potato yarla
1 manu purdujurruyijalalpa
1 karna wangkaja
1 marna nganturnu
3 kalalu yarla
1 pardijarra pikilyikirra
1 manu warntaparrikirra
1 purralyanypardija wiringki
1 ngayi yitingkayitingka
1 panujarlunyayirni yalijikilpalu
2 kalu warnirri
1 kirrirdikirrawarnurla nyampu
1 jurnpurnpukupurda jurnpurnpupiya
1 kulkurrujarra yalumpurla
1 marrkirdi ngurlu
1 jujulkulpalunyanu yapakarilpa
1 miyi piyayijala
1 kala mardarni
1 kangurnu wiringka
1 kuja ngulangurlunyalu
1 jukurrapardinjarla yanu
1 mayi nyampu
1 ngakarlipanyanu wajarlipanyanu
1 kurdu purdangirli
1 kala kalajana
1 kujalpalu ngulawarnuju
2 nyinanya yumurrpa
1 jakamarrakurlangu jupurrurla
1 nyarrpara pirli
1 ngirntingkili paarnkayarla
1 kala mardarnu
10 kala kalalu
1 yali yapapatu
1 kujakajana yatijarra
2 kala karinganta
1 kala pawarlayijala
1 kala wirinkurru
1 kankarlarraku mangarri
1 kajana nyurdipatu
1 kujamirnimirni watikilkija
1 ngarrurnu warlungku
1 wapirdi yarlalparla
3 munkularrikilpalu nyinaja
1 wangkaja yapalparnajana
1 nyampujuku yungka
2 kalalu kunarriirlalku
1 ngulanyalpa nyanungukupurdangka
1 karnta mardarni
1 ngajarrirli yarnkajarni
6 manu rdakukari
1 nyiyakantikanti yuulypungu
1 ngayi nyampu
3 kala kalalurla
2 yangka yangka
1 kalajana yaparranjiki
1 nyurnu nyurnungkajinta
1 panma panmangka
1 jukurrapardinjarla ngunanjarla
1 kari maliki
1 karlaja wanakijilpalu
1 ngamarnapiya nyinaja
1 lawalkuyijala yungu
1 kala wakurturdulku
1 kuja yalumpukula
2 karinganta kulkurru
1 ngayilpalu pungu
1 kankarrarlarranyayirni pangurnuu
1 jakamarrakurlangu nyurdipatu
1 ngamingka yirrarnu
1 ngunajalpalu wirntija
1 karlaja rdakujulpalu
1 miyalu ngirnti
1 warlkurrmanu yirrikujurnu
1 ngulajangka yalumpuju
1 kulpajarra ngulawarnuju
2 purralyanyjurrurnu yalumpuju
2 miyi yungu
1 pinjanu yaliwarnukuju
1 lawajarrija wirinkirrirla
1 kalaa marluku
1 juka katirni
1 ngurrjunyayirni nyinajalpaluu
1 kuyukurluku yirrarnu
2 kuna tarlti
1 nyinaja pakuru
1 marlu panujarlurlulpalu
1 ngurlunganpa rdangkapungulku
1 kalalujana ngulangurluju
1 kuyuju mala
1 ngurlujulpa pardi
1 junmangku kalalu
1 kalalurla rdangkapungulku
1 manu rilyiji
1 yampimi yungkurnu
1 ngulajangka yampija
1 ngarrirni ngulawarnuju
1 kala tarnngalku
1 ka ngapa
2 jupurrurla nyurdipatukurra
1 manu yurntalpirdi
2 ngarrurnu yanirra
1 nyampu wajalpa
1 watingkipukalpalujana wiriwirilpalu
1 ngulawarnuju yangka
1 kalalu wangkaja
1 nyinaja nyurnupatukurlangu
1 manjakurralkurlipa yani
1 mardaka yirrarni
1 ngulawarnuju yitingkayitingka
1 kujalpalu yirrarnulpalu
1 yijardu yijardunyayirni
1 rilyi rilyiji
1 karlumpayi nyinaja
1 kalaa yilyanjangurlumanu
1 manu pikilyirla
1 karlangujukatirlilpa kuja
1 kujalu yunparnu
2 yarla yurturlupatu
1 yalinyalpalu yangka
1 kala yungu
1 nyinaja warnirripaturla
2 kala winingka
1 pinjanu walya
2 kalajana ngulawarnuju
1 nyurnu yapalpa
1 jinta nyurnungkajinta
1 karrimi ngurra
1 kunarrirlalku yarlangka
1 winingka yaliyijala
1 kajana ngulangurlunyalu
1 milyapungu yungu
1 ngulangka yurrpurnu
1 kalanyanu warlungku
2 pangurnu pilingkilpalu
1 junmangkupalanyanu purturluyijala
1 nyiyarlu tirnapardunyayirni
1 kujalpalu nyurnunyurnu
1 ka witalku
1 jilangka yali
1 nyampupiya wanti
1 manangkarrarla marna
1 ngurrjunganpa yungka
1 kuja yalumpujulpalurla
1 kuyupungu maliki
1 ngulawarnuju yanurnu
1 parduna wantija
1 karrimi lawalkuyijala
1 jalanguju nyampuju
3 kala ngulajangkaju
1 nyangu nyinaja
2 kuja yanurnu
1 matakarrikarri parnkaja
2 kalalu karlangujukatirli
1 kuyuju manu
1 janyinkiyirla jutururrparlalpalu
1 puyurru rdangkapungulku
1 manngunyangu nyinajalpa
1 kalajana muljungka
1 nyangu puranjarla
1 ngapakurra ngulaju
8 kalalu kuja
1 kalalu lirrinyinaja
1 nyiyakantikanti purlkapurlkarlu
1 kutumirnimirni wurntururlangu
1 kujalpalu law
1 kanjarlalpalu ngulajulpalujana
1 karnalunyarra yarnkajarra
1 palkayijala yirimanu
1 wirinkirrirla yalumpujulpalu
2 kalalu wurnalku
2 kunajarrayikirra panukari
1 lawajarrijalpalu yampinyi
1 nyinaja yinyarralpalu
2 karinganta yungkurnu
1 milkiyungkurnu panmangka
1 pardijarra yanu
1 karnaju katirni
1 jurnpurnpu ngulaju
1 miyinganpa ngurlunganpa
2 kalalu warluju
1 purlka yangka
1 jintajintajarrijalpalu yawupardijalpalu
1 kujarlu kuyu
1 purlkanyanungukuju yii
1 panmangka yirdi
1 yanurnu yulanjarni
1 pinapinamanu yalinyalpajana
1 karnangku yali
1 kuja pajirniyijala
1 malamalakulkulpalujana ngulangka
1 kuja watiji
2 kalalu mapirrirlilki
1 kulakalu ngurrjumantarla
2 kala rdakangurlu
1 mungalyurru ngulayijalalpalu
1 ngapalpalu yalinyalpalu
1 kintilarrirla pakarlirla
1 mungalyurru yanuu
1 pakuru pakurupiyayijala
1 ngajarri yanurnu
2 julyurlparlajuku kalalu
1 yalumpukurraju yanurnu
1 marnakurrawarnurlanyalu yangka
1 kalalunyanurla ngurrjunyayirni
1 ngunaja ngunajalpalu
1 nyina yuwayi
2 kalalu kula
1 pawarlayijala rilyi
1 yalikila yanu
3 nyanunguju yarla
1 ngarrirni nyurnunyurnu
2 kirrirdikirrawarnurlalku ngulawarnuju
1 lungkardajarra yalikinya
2 kala yungkurnurra
1 kuja miyingalpa
2 kuja mardarni
1 nyajangku pakarnu
1 ngayilpalu wampana
1 karnta yangka
1 jarlupatu wangkaja
1 purlkangku yungu
1 kardiyakurlanguwangurlu purturluwana
1 nyinaja yarturajangka
1 waturlpunyu waturlpunyurla
1 nyurnujarrija yapa
1 yangka yangkawarnujuku
1 miyikirlangurla nyirrpingka
1 kalalunyanu ngurrjunyayirnilpalu
1 marnkurrpalku nyinami
2 manangkarrarla nganturnu
1 kuyupungunyayirni ngayilpa
1 karnalunyarra rangkarrkurlu
1 kalalurla wapirdi
1 ngulajulpalujana yirrarnu
1 pardija yanulpaluu
1 miyilpalu yarlalpalu
1 pakuru wilypimanulku
1 jurnpurnpu yimiji
2 kujalpalu ngarrirni
2 manu murrarnimurrarnirlilpalu
1 kuyulpalujana ngurrakurra
1 ngamarnapiyalku ngulalu
1 manu yalumpurla
1 ngajarrirli warlu
1 ngurrara walya
1 yaparranjirlangu yurntalpirdi
1 kulpalu wurntururlangu
2 kujalpalu yirrarnu
1 manu nyanunguju
1 ngulaju yani
1 lawajarrijalpapala nyanungujarra
1 kuja kunajarrayirla
1 purralyanyjurrurnu yaliyijala
1 miyaluwarnu warrawarrakangu
2 nyampurla yilanjangurlumanu
2 purraja yangka
1 kalalurla yugnu
1 kalalu minija
1 kalajana yaliki
1 jintalpa karlipa
2 karna ngarrirni
2 kala purlkanyayirni
4 miyi ngulawarnuju
2 kalalunyanu yimilki
1 wangkaja yarla
1 kalalunyanurla yarlaku
1 manu pawala
1 nyarrpa yalumpujuku
1 marnikiji yalumpu
1 purturluyijala yijardujukupalanyanu
2 yapangku yungkurnurnu
1 pinapinamanu yali
1 kujamirnimirni kuyuparduju
2 kalalu yuwarlipiyayijala
1 kanjarla purturlurla
1 ngulawarnuju nyinajalkulpalu
1 karnangku kulkurrujarra
1 kutulku warluyijala
1 nyarrpararlalpalu nyirrpingka
1 kalalurla ngurrjunganpa
2 nyinaja yirripuraja
2 kala yinyakanjayi
1 marluju yampija
1 ngulajangkaju warnaparirli
1 janamingirli kalalu
1 kanjanu nyiyarla
1 yangka yijardu
1 mardarnu yangkaju
1 yalumpuju yalumpujulpalurla
4 kalalu yaa
1 nyinajalpalu wanakiji
1 kalalunyanu pulkurnarrinyayirnilki
1 ngurrjunyayirni yapapayirrarnu
1 ngapakurra yalumpujuku
1 kujaka manangkarrarla
1 milyapungulku yuwurrurlulpa
1 panmangka yalirla
1 karri ngunanjayani
1 kunarriirlalku yali
1 kuyulpajana yaliwarnukuju
1 kalalu ngapakarikirra
1 yimiji yungu
1 marlupungunyayirnilpa witawangulku
1 malirdinyanu ngayi
1 yalumpu yungu
1 wurajiwuraji yaliji
1 kangurnulpa luwarnunjunu
1 pungu puujurla
2 yaliki yaparranjiki
1 kalalunyanu kardiyakurlanguwangurlu
1 manu wililkangu
1 kalalunyanu wangkaja
1 nyurdipatu yarlangkayijala
1 manu ngirntingkili
1 yalirlajuku yunparnulu
2 kala yijardujuku
1 miyi ngurlujulpa
1 wirrikirra yalumpujuku
1 kalalurla karinganta
1 ngulajulpalunyanu yangka
1 lawa nyampu
1 jurnpurnpukurra ngulaju
1 milpartiri nganayi
1 warnmankurlangu yalikirra
2 manu pakarlijilpalu
1 rdipija yapakarikilpa
1 kujapurda ngakalpalu
1 ngurrayijala waturlpunyu
1 jurnpurnpawana yalumpu
1 ngurrjunganpa rdangkapungu
1 ngajunyangu waja
1 manjakurralkurlipa yaa
1 wapirrarlulpajana yalumpuju
1 kunajarrayirla nyarrpararlalpalu
1 purdanyangu purlkanyayirni
1 karinganta nyangu
1 marnkurrpa pangurnu
1 nyampu yangka
1 watipatuju yalikirrajuku
1 kuja nyiyaku
1 maliki wirliyalpa
1 ngapangka panmangka
1 jintawarlayijarrinjarlalkulpalunyanu rdipija
1 kunarriki nyinaja
1 nyinajalpaluu yalumpukurlujulpalu
1 kuyupungunyayirni malikiji
3 rdakukari rdakukari
1 kala karlangujukatirli
1 yanulpalu yurrunturu
1 kuyu ngulalpalu
1 karnta wajarna
1 ngulajangkaju warnapari
2 jurrku muljupatu
1 kuja ngarni
1 tarlti yirrarnu
1 miyi yurturlupatu
1 yalinya yungu
1 muturnamuturna yarlaku
1 manuu ngamingkaju
1 kuja ngarnu
1 kalaluu yangkawarnujuku
1 ngarrirni yalumpu
1 ngayi pawarlayijala
1 ngarrirni panmangka
1 nganayikirra yirdikirra
1 ngulawarnuju puujurla
1 kanjarlalpalu yarla
1 yanulpaluu yinyarralpalu
1 mayi mayilpa
1 ngulapiyayijala yarla
1 kuyuju pulukuwarnurlaju
2 pungu tarlti
1 minija nyinaja
1 kalajana watiyijala
1 lawajarrijalpapala ngurrjunyayirni
1 watingkipukalpalujana yirrarnu
1 karnalu ngulaju
1 ngulalpalu yurturlunyayirni
1 kalalunyanu karinganta
4 kala yalumpuju
1 kulpurlunulku ngulangurlu
1 turnujarrija yalikirrajuku
1 kajana yaliji
1 junmangku purturluwana
1 parljungka yirrarnu
1 yalikirrajuku yumurrpa
1 yalumpujuku yawupardija
1 purlkapurlkarlu yanu
1 kanjarla yalumpuju
8 yarla yungu
1 pardija yarla
1 ngulakurlu yapa
1 mardarni tumaji
1 marlu yungu
1 kalalujana nyinanya
1 ngurrjumantarla nyina
1 karnalunyarra ngaka
3 ngulajulpalu nyinaja
1 yatijarralpalu yulanjarni
2 kala kujalpalu
1 nyinjayi yungkurnu
1 manu warlarlangurlu
1 pangurnu wirijarlu
2 yarla yirrarninjaparnkaja
1 wajalpa yalumpujuku
1 nyampurla nyanunguju
1 ngulayijalalpalu ngunajalpalu
1 parrikirlangurla yarlalpalu
2 kalalu wantakarikirra
1 kalalu kalarnalu
1 nyiyarla warirninjamardarnu
1 kalalujana yapakariyapakari
1 kalalunyanurla ngulaju
1 tuurlpungu tuurlpungulpalupalangu
1 kirrirdikirrirdi witilki
1 muljungka yirrarnurnu
1 nguna yalikirra
1 rdipija yapangku
1 mayi yananyarra
1 jintajarrija manu
1 nyinjayi wuu
1 yijardu yilanjangurlumanu
1 waja warlalja
1 kirrirdikirrirdi witilkili
1 kakarrararlipajana yani
1 ngunajarni ngurlju
1 jintajintajarrijalpalu nyinajalpalu
2 yali yatijarra
1 karna kurdijirlajulpalu
1 mukulu nyampurlaju
1 wirliyalpa yapangkulpa
2 yarla yurturlukari
1 kankarlarrarlulpajana wapirrarlu
2 marrkirdi yungu
3 kulalpa ngayilpa
3 kanjarla yirrarnu
1 mardukuruju pinapinamanu
1 marlukarilki yangkaju
1 karnalu ngayilki
1 kalalu murrumanu
1 pardijarra yatijarra
1 kulungku yupujurla
3 kurntirrpa yapapayirrarnu
1 karingantarnajana yirrarnurnu
1 kala warurnu
1 kujalpajana milyapungu
1 ngarrirni yapapatu
1 kalalu kuyupungu
1 kaninjarrarlangulpalu manu
1 miyi ngulapiyayijala
1 nyinaja warrarda
1 kuyukirda yalikirra
2 ngurlunganpa yungka
1 kulpajarra nganimpanyangupurnu
1 pirlarrpa yungu
1 ngurrjunyayirnilpalu nyanungurluju
1 kirlilpi wampana
1 purraja purturlurla
1 mardangka ngulawarnuju
1 warluyijala yalikirrajuku
1 witilkili yangka
1 jintajarrija jirramakarirli
1 kalalu ngulangurluju
1 kalalu karlanguju
1 kintilarrirla ngulangka
1 kurlirra pangurnuu
1 lirrinyinaja ngapa
1 kala ngapangku
1 nyinaja yalumpukuju
1 puyurru yalikinya
1 kala pardunanyayirni
1 kuluwangu ngulajulpalu
1 kula warlkurrmanu
1 kunarriirlalku nyajangku
1 ngurrjunyayirni yimilki
1 ngunajarni yalumpujuku
1 kala karnta
1 kala wuu
2 manu palkakarrinyarla
1 kalajana pilja
1 manu nyangu
1 malapiyayijala ngularra
1 kalarlipa ngulajuku
2 yali yangkaju
1 kaninjarranyayirni pilingkilpalu
1 miyi yirrarninjaparnkaja
1 miyipardu yalinya
1 kalalu kujaka
1 kalalu nyiyakantikanti
1 kunarri yalinya
1 mukuwangkaja yalumpu
1 nyurnungkajinta yapa
1 jintajarrija ngurrjunyayirnilpalu
1 juju yangkaju
1 miyiwangu nyina
1 kuyukulpalu purlkapurlkarlu
1 kangu kuruwarri
1 lawangku parduna
1 kutungarnu pulukuwarnurlaju
2 kala yaliwardingki
1 kalalu kuyu
1 nyurnupatukurlangu witawiyilpalu
1 kujurnu purraja
1 ngapangka ngulawarnuju
1 mikawurru wangkaja
1 ngulawarnuju yalumpungurluju
1 kankarrarlarranyayirni ngamingka
1 nyinjayi yalikirrajuku
3 kurdijirlajulpalu wirntijalpalu
1 ka kanguu
