1 parulkapiyarlanguyijala
1 jatinpaju
1 kurlurlumpayi
1 kujakayani
1 armytime
2 pardiyapala
1 warluwarijipirlinypa
18 wangku
5 jararrpa
7 yurapitilki
96 yungkurnu
240 jurru
2 everythingki
3 marnangkartarirli
1 data
6 manku
1 wiljiwilji
2 nyinyi
91 jamirdi
1 nyirnpa
13 yalampa
1 rdilkiyarlalkulu
1 yaninjayanulurla
2 jiilparijiilpari
1 lurtingparntalpalu
1 liebig
2 bridge
1 yinarrkikirlkangu
33 lapaji
6 wuru
1 pakarninjarlajinta
2 yaarlku
1 jampirlka
4 kulapanpaju
1 jintajintajarrinjarla
2 heap
1 hear
2 jintalpala
1 heat
1 waniyarrakurlangurlalku
16 warrukurdukurdu
1 yaliwayi
2 rapitilki
5 wirinkirri
1 perspective
1 would
1 waririnija
5 warlpirijiki
1 muulpa
100 jarntu
1 rdakardakajarrimi
1 matakarrikarri
1 karriyarlarra
2 later
1 wirrarrpalu
1 purturlujayiti
1 yirlkinjirlangurla
1 jintilkakurlangu
7 liwanja
6 walilparla
1 ngukurruru
1 lirlparirlalku
1 wukuju
2 winjirri
319 warrirni
1 yijalkiriparntakurra
7 rdakajarra
1 kankarlumpa
1 manjayani
6 policeman
1 wukujikirikikirrarna
11 yapirliyi
1 kiyirtikirraju
1 lilirlpakurra
1 samaria
1 nganjurngu
1 yawayawaa
1 jarlpikari
1 ikarirlalpa
1 yurrkurukurlu
1 outstations
1 malikiwirijarlu
3 jaarrjaarrparla
107 kurdiji
1 yarluyumpukurralu
6 nyinajalpala
1 rdurrulpu
1 walirlangu
2 piirrpa
3 kurduklurna
1 yalyuyajulku
4 nampijinparluju
6 pakalpa
3 yirakari
1 yunparnurlku
1 partirninjarla
2 kawujini
2 university
5 wardarrwardarrkijini
19 jintajarrimi
2 rdangkarrkurlurlangulku
2 wurninininypardu
1 pardimikila
1 wilalpunguku
1 wijipitirla
2 indeed
2 pilinjiya
1 beachcomer
7 nyiyanpa
15 nguku
9 walilparna
1 perish
1 manupururnpaju
2 nyirnti
2 jiirlnyinami
2 jiparanypaku
2 wijipitirli
1 ngirntiyati
1 palarlajinta
5 told
1 watuwari
10319 ngula
1 layijini
115 wankaru
1 karlikirrajukujarntirninjakurra
1 jukunpa
1 yuturlpukurra
1 phicol
3 kangujarala
2 kikiri
1 yinpanika
2 rdilkiyarlalku
1 ylingirliji
1 kalyakaltarlangu
2 puljurukarra
30 yaarlpa
1257 ngarrirni
54 kajipanpa
7 kankulunganpa
1 cilenda
1 pangkarlpangakarlparla
8 days
2 yaarlwantimi
1 ulpa
1 rdaalyparr
2 yutajiti
1 kangurnlpalu
1 tarntirni
1 jilpirlirla
2 malikji
2 murlinjarriki
2 yintawalyarriki
40 yanurrpu
1 malyamalya
1 putupinki
2 nyanungujulkulpala
3 ngarntipi
1 parayilpilpakurraju
1 pinaprnkamili
2 jarntinyjarntinypa
1 wiripirdinpaju
